unit_id,review_text,assigned_label,reason,method,rating
588990f5-cafe-4c03-9c33-c383f9d6c0b3-00,This App is Great For Last Minute Needs still Blinkit is The Best,praise_noise,no specific friction keywords found,heuristic,5
276f7be3-4fcb-4fb9-b2c7-ff5d84b1417d-00,cashback throgh payment app is fraud,praise_noise,no specific friction keywords found,heuristic,1
26589c1d-17f2-43e1-b66e-ebf76a129d6e-00,just awesome it is so lowkey good if u order something above ₹149 u get free delivery which is goated,praise_noise,LLM bypassed,heuristic_bypass,4
a8660adb-d442-4b80-af79-22a93e15b314-00,bahut achcha hai aur 50 discount hai,pricing_policy,pricing keywords (1 hits),heuristic,5
ba09377f-8473-4d8b-b196-fb5a6d6ffa54-00,"there is no rain in my area, and you are asking for surge charges",pricing_policy,pricing keywords (1 hits),heuristic,1
23130b13-be0f-4aba-adbe-935188a36744-00,sometimes too much costly,pricing_policy,pricing keywords (1 hits),heuristic,4
2d519f2b-480c-4848-9fc0-215be2d55729-00,"Nice, but need more discount",pricing_policy,pricing keywords (1 hits),heuristic,5
cf6febdf-f7fc-40f4-859a-b0459f000382-00,"I received a 75% off coupon through the spin offer, but now it is not showing or usable",pricing_policy,strong pricing keywords (2 hits),heuristic,1
303c3397-6257-49b0-914a-0566680100be-00,quite expensive even after purchase of 100/- they charge us extra charges for delivery,pricing_policy,strong pricing keywords (2 hits),heuristic,4
f16440e7-9300-4273-86df-16c77da88f0c-00,price thode kaam kro or jiomart ke jaise coupon start kro thq,pricing_policy,pricing keywords (1 hits),heuristic,2
704748b8-e261-498d-805b-e46dedc9e4f3-00,expensive and no copoun available and no 1 rupees store,pricing_policy,pricing keywords (1 hits),heuristic,1
087d768a-14ce-4934-b5a9-0384fd21b253-01,"When I shop for less than ₹200, they charge so many extra fees that after seeing the total, I don’t feel like ordering anything",pricing_policy,pricing keywords (1 hits),heuristic,1
3448bd5a-1831-4068-837c-5e1e63501195-00,surge charge komao ba,pricing_policy,pricing keywords (1 hits),heuristic,1
61892e87-99a1-49c4-bcba-9b749de12ab6-00,the ice cream offer is not coming,pricing_policy,pricing keywords (1 hits),heuristic,1
9e6e0755-a336-491f-ae44-003c1f01095a-02,A little bit expensive than the others but really good,pricing_policy,pricing keywords (1 hits),heuristic,5
a7deb3e6-9b7b-4bf1-a06a-325b3f5b3c31-00,make website more clearer,praise_noise,"very short, no specific issue keywords",heuristic,4
ae434f2c-ea34-4bd8-b95d-881b13106724-02,"I'm uninstalling their irritating App from all my family devices, stopping all purchases",praise_noise,no specific friction keywords found,heuristic,1
